Toss,Bat,Venue,RelativeRunsPerInn,RelativeAve,RelativeSR,RelAvgEcon,RelBowlAvAverage,RelAvgWkPerInn,RelBowlAvgSR,RelAvgCatch,RelAvg100,Rel4WkHauls,RelBatAvg,Result
1,1,0,4.31728268,6.29707071,13.59373738,-0.112888889,7.67458333,-0.136027721,4.51388889,0.216318439,0.014963083,-21,-0.30723902,1
0,2,0,1.3937882,1.219,12.39236364,0.304444444,0.33777778,0.217130784,-3.625,0.129691238,0.022531791,-9,-1.45344138,1
0,2,0,1.23166613,0.62718182,13.01727273,0.192777778,3.97819444,0.133704827,0.16527778,0.213959792,0.019749088,-1,0.60803,1
0,1,0,-1.71685161,-2.86063636,11.64454546,0.318333333,8.14069444,0.060223971,4.67916667,0.243150419,0.010947829,-7,0.53705,1
0,1,0,4.49881591,7.44272728,-2.38272728,0.317777778,14.62888889,-0.176218334,11.71111111,0.042824906,0.018924213,-14,-3.32853,1
1,1,0,4.38293418,7.45545455,-8.19545454,0.376666667,14.10666667,-0.149735029,10.76666666,-0.028259163,0.019137252,-20,-3.16217,1
1,2,0,4.39338129,6.75,-11.44727273,0.283333333,14.19111111,-0.193519013,11.87777777,-0.029722659,0.019449314,-20,1.0951,0
1,2,0,6.39081446,10.57590909,7.38618182,0.1725,10.91925,-0.244246615,8.415,0.065389985,0.033395712,-13,-1.19404,1
0,1,0,6.33357764,10.55272727,7.35036364,0.17675,12.5545,-0.261360161,10.115,0.073224387,0.030202879,-13,-0.59384,0
0,2,0,3.79344492,7.52427273,5.53772727,0.016777778,9.034,-0.133198182,7.60777778,0.008207051,0.022963307,-15,0.95685,1
0,1,0,-1.52859292,-1.50818182,-8.36818182,0.02275,9.57275,-0.064709383,10.02,0.015382483,0.00399587,-5,2.96992141,1
1,2,0,-2.06024713,-2.30090909,-7.53454545,-0.00725,20.48475,-0.17591535,21.635,-0.045277116,0.009693923,-14,2.96068951,1
0,1,0,-1.69935019,-1.65,-9.18,0.419,22.203,-0.204112129,22.2075,-0.054257574,0.007157123,-13,1.91759023,0
0,2,0,-1.23213188,-0.55090909,-7.75363636,0.4045,20.57825,-0.20619907,21.1025,-0.049587277,0.005922928,-12,-0.92157917,1
0,2,0,-0.96103638,-0.27818182,-7.22272728,0.4585,21.71375,-0.216670183,21.8425,-0.064486263,0.00317876,-12,-1.18850598,0
0,1,0,0.44419918,-0.44181818,-9.85454545,0.581931818,15.12471429,-0.229830545,18.27142857,0.020017855,0.011141638,-3,-0.97181074,0
1,2,0,0.47333812,2.71781818,-10.26545455,0.486590909,13.39042857,-0.213548416,17.38428571,0.004546895,0.011915503,-2,-0.67374449,1
1,2,0,-0.74319989,2.45890909,-5.71181818,0.47325,10.33746032,-0.123028385,14.08095238,-0.086450522,0.007412587,-2,-0.55861463,1
1,1,0,-0.5423827,1.66645455,-5.83454546,0.50475,11.25333333,-0.135377979,14.61587301,-0.079229239,0.030449411,0,2.139654745,1
0,2,0,0.65114017,-0.554,-4.40172727,0.7625,15.55507936,-0.176710256,16.81428571,-0.087659696,0.0297847,-2,1.551731339,0
1,1,0,1.24585144,4.846,-1.01181819,0.6325,1.07984127,-0.016471915,1.69365079,-0.037598291,0.025598755,-7,1.17722869,1
1,2,0,2.10698849,2.84727273,5.46636363,0.920101011,-11.36328571,0.067934095,-14.61571429,-0.014518323,0.014587373,-5,1.884143453,0
0,1,0,4.91381824,3.924,12.23218182,0.76675,-3.77,-0.039951114,-4.21111111,-0.026584458,0.008770306,-10,-0.18680253,0
1,2,1,2.21424745,6.21818182,3.58727273,0.190833333,17.21875,-0.374650486,16.99583333,-0.054819668,0.006759384,-11,0.52820289,0
1,2,1,2.67126373,6.31363636,7.22609091,0.02275,14.71114286,-0.305111101,15.40571429,0.042045823,0.013312129,-7,1.92972241,1
